JLL,google.com/url?q=https://jll.wd1.myworkdayjobs.com/en-GB/jllcareers?locationCountry%3Dc4f78be1a8f14da0ab49ce1162348a5e&source=gmail&ust=1768368690364000&usg=AOvVaw0nLkd3piPITRCNiGSTjFdC
Uber,https://www.uber.com/in/en/careers/list/?location=IND-Haryana-Gurgaon&location=IND-Karn%C4%81taka-Bangalore&location=IND-Telang%C4%81na-Hyderabad&location=IND-Andhra%20Pradesh-Visakhapatnam&location=IND-Hary%C4%81na-Gurgaon
United Airlines,https://careers.united.com/us/en/search-results?keywords=India
UnitedHealth Group,https://careers.unitedhealthgroup.com/job-search-results/?location=India&country=IN&radius=25&src=NGP-22510
Vedanta Limited,https://vhr.darwinbox.in/ms/candidate/careers
Visa Inc.,https://www.visa.co.in/en_in/jobs/?cities=Bangalore&cities=Mumbai
Vodafone Idea,https://careers.vodafoneidea.com/go/All-Current-Job-Opportunities/4268701/?q=&sortColumn=referencedate&sortDirection=desc
Voltas,https://voltas.talentrecruit.com/career-page
Warner Bros. Discovery,https://careers.wbd.com/global/en/search-results
Wells Fargo,https://www.wellsfargojobs.com/en/jobs/?search=&country=India&pagesize=20#results
Xiaomi,https://www.linkedin.com/company/xiaomi-india/jobs/?viewAsMember=true
Yes Bank,https://yesforyou.talentrecruit.com/career-page
Zensar Technologies,https://fa-etvl-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/jobs?lastSelectedFacet=LOCATIONS&selectedLocationsFacet=300000000435151%3B300000000389881%3B300000000435178%3B300000000435310%3B300000000435430
American Tower,https://careers.americantower.com/#en/sites/CX_1/jobs?location=India&locationId=300000000193939&locationLevel=country&mode=location
Brigade Group,https://brigadegroup.darwinbox.in/ms/candidatev2/main/careers/allJobs
GE Aerospace,https://careers.geaerospace.com/global/en/search-results
ABB,https://careers.abb/global/en/search-results
Adani Energy Solutions,https://www.adani.com/opportunity/#en/sites/CX_2027/jobs
Adani Ports & SEZ,https://www.adani.com/opportunity/#en/sites/CX_2021/jobs
Airbus,https://ag.wd3.myworkdayjobs.com/Airbus?locationCountry=c4f78be1a8f14da0ab49ce1162348a5e
Allianz,https://careers.allianz.com/global/en/search-results?p=ChIJkbeSa_BfYzARphNChaFPjNc&location=India
Amara Raja Group,https://amararajacareers.peoplestrong.com/job/joblist
Asahi India Glass,https://ais.darwinbox.in/ms/candidatev2/main/careers/allJobs
AstraZeneca,https://careers.astrazeneca.com/location/india-jobs/7684/1269750/2
AXA,https://careers.axa.com/careers-home/jobs?country=India&page=1
Bajaj Finserv,https://bflcareers.peoplestrong.com/job/joblist
Barclays,https://search.jobs.barclays/search-jobs/India/13015/2/1269750/22/79/50/2
BASF,https://basf.jobs/?currentPage=1&pageSize=10&addresses%2Fcountry=India
Bayer,https://talent.bayer.com/careers?location=any&pid=562949975473181&job%20type=student&job%20type=professional&job%20type=job%20starter&domain=bayer.com&sort_by=relevance&triggerGoButton=false
Berger Paints,https://iabiiz.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/jobs
Birlasoft,https://jobs.birlasoft.com/go/India/684744/
Black Box,https://eoje.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/jobs?location=India&locationId=300000000385390&locationLevel=country&mode=location
DHL Group,"https://careers.dhl.com/global/en/search-results?selected_fields=%7b%22businessUnit%22:%5b%22eCommerce%20Solutions%22%5d,%22country%22:%5b%22India%22%5d%7d"
BNP Paribas,https://group.bnpparibas/en/careers/all-job-offers/india
Bosch,https://careers.smartrecruiters.com/BoschGroup/india
BP,https://careers.bp.com/listing?production_bp_jobs%5BrefinementList%5D%5Blocation_list%5D%5B0%5D=India
Coforge,https://careers.coforge.com/coforge/
Continental,"https://jobs.continental.com/en/#/?location=%7B%22title%22:%22India%22,%22type%22:%22country%22,%22countryCode%22:%22in%22%7D"
Croma,https://fa-eryk-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/jobs?location=India&locationId=300000000446243&locationLevel=country&mode=location
DBS Bank,https://www.dbs.com/careers/jobs.page?market=India
DCB Bank,https://zingnext.zinghr.com/portal/embed/career-website?CareerClientKey=ASDFQ-BAHDV-QWERM
Deutsche Bank,https://careers.db.com/professionals/search-roles/#/professional/results/?country=81
ESAF Small Finance Bank,https://esafcareers.zappyhire.com/#/
Finolex Group,https://www.finolexpipes.com/career/
Gallantt Ispat,https://gallantt.com/careers
Glencore,https://www.glencore.com/careers/jobs
Granules India,https://granulesindia.com/careers/current-openings/
GSK,https://jobs.gsk.com/india-pharma/jobs?location=india&page=1
HDFC Ergo,https://hdfcergocareers.peoplestrong.com/job/joblist
Hexaware Technologies,https://jobs.hexaware.com/#en/sites/CX_1/jobs?mode=location
Hindustan Aeronautics,https://hal-india.co.in/career
Hitachi,https://careers.hitachi.com/search/jobs/in/country/india
Hyundai Mobis,https://hyundaimobisin.openings.co/hyundaimobisin/
IFB Home Appliances,https://www.ifbappliances.com/career-jobs?srsltid=AfmBOorzq8AZxtkwNBpLChYD39mxFPk6pMMORPbmsa8slLvkLa-oARFQ#react-careers-listing-page
IndusInd Bank,https://app1100.workline.hr/Cportal/GeneralOpening.aspx
Jammu and Kashmir Bank,https://jkb.bank.in/career?title=&field_job_location_target_id=1405
Jindal Saw,https://jslhrms.darwinbox.in/ms/candidatev2/main/careers/allJobs
Kalyan Jewellers,https://careers.kalyanjewellers.company/explore/INDIA
Kia,https://career.kiaindia.net/kiaindia/
Kirloskar Oil Engines,https://mhicareers.com/search/?createNewAlert=false&q=&locationsearch=IND&optionsFacetsDD_title=&optionsFacetsDD_facility=&optionsFacetsDD_customfield5=&optionsFacetsDD_brand=
Lenovo,https://jobs.lenovo.com/en_US/careers/SearchJobs/?13042=%5B12016672%5D&13042_format=6627&listFilterMode=1&jobRecordsPerPage=10&
Lodha Group,https://www.lodhagroup.com/hr/explore-career
Mercedes-Benz,https://jobs.mercedes-benz.com/en?en=&PositionLocation.Country=%5B390%5D
Mitsubishi Heavy Industries,https://mhicareers.com/PrimetalsTechnologies/search/?createNewAlert=false&q=&locationsearch=India&optionsFacetsDD_title=&optionsFacetsDD_facility=&optionsFacetsDD_customfield5=&optionsFacetsDD_brand=
Motilal Oswal Financial Services,https://motilaloswal.turbohire.co/dashboardv2?orgId=0f6e3a76-85ff-4b66-8bfa-4cd4fede4ffa&type=0
NatWest Group,https://jobs.natwestgroup.com/search/jobs/in/country/india
Nippon Steel,https://www.amns.in/careers/join_us
Niva Bupa,https://disha.darwinbox.in/ms/candidatev2/main/careers/allJobs
Novartis,https://www.novartis.com/in-en/careers/career-search?country%5B0%5D=LOC_IN&field_alternative_country%5B0%5D=LOC_IN
NTT,https://careers.services.global.ntt/global/en/search-results
Panasonic,https://careers.na.panasonic.com/jobs?location=India&woe=12&regionCode=IN&stretchUnit=MILES&stretch=50&page=1
Philips,https://www.careers.philips.com/in/en/search-results
PNC Infratech,https://www.pncinfratech.com/career.html
Polycab India,https://polycab.darwinbox.in/ms/candidate/careers
Poonawalla Fincorp,https://career.poonawallafincorp.com/
Quess Corp,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/jobs?location=India&locationId=300000000433655&locationLevel=country&mode=location
RBL Bank,https://rblcareers.peoplestrong.com/job/joblist
Cisco,https://careers.cisco.com/global/en/search-results
Intuit,https://jobs.intuit.com/location/india-jobs/27595/1269750/2?cid=evt_tc_gen_IN_SWE-FY23_TC_EB-Emp-Jobs-Banner_TC_intuit-talentmktg#form-sw
Saint-Gobain,https://saintgobain.turbohire.co/dashboardv2?orgId=18b62a1d-bdb3-4bfc-a33b-be896e18431d&type=0
SAP,https://jobs.sap.com/go/India/8807201/
Schaeffler India,https://jobs.schaeffler.com/?locale=en_US&carrerEntrance=entranceReferral%3Dhttps%253A%252F%252Fwww.google.com%252F%26gtmAttTs%3D1769178311243&_gl=1*1vjlvit*_gcl_au*MTkxMTQ2NTM2Mi4xNzY5MTc4MzA4&currentPage=1&pageSize=30&addresses%2FcountryCity=India%3ABangalore&addresses%2FcountryCity=India%3AHosur&addresses%2FcountryCity=India%3APune&addresses%2FcountryCity=India%3AVadodara
Schneider Electric,https://careers.se.com/jobs?country=India&page=1
Shell,https://shell.wd3.myworkdayjobs.com/en-GB/shellcareers?source=APPLICANT_SOURCE_India_Local_Page&locationCountry=c4f78be1a8f14da0ab49ce1162348a5e
Siemens,https://jobs.siemens.com/en_US/externaljobs/SearchJobs/?42414=%5B812053%5D&42414_format=17570&listFilterMode=1&folderRecordsPerPage=6&
Siemens Energy,https://jobs.siemens.com/en_US/externaljobs/SearchJobs/siemens%20energy%20india%20limited?listFilterMode=1&folderRecordsPerPage=6&
Skoda Auto Volkswagen India,https://skoda-vw.darwinbox.in/ms/candidate/careers
Standard Chartered,https://jobs.standardchartered.com/go/Experienced-Professional-jobs/9783657/?feedid=363857&markerViewed=&carouselIndex=&facetFilters=%7B%22jobLocationCountry%22%3A%5B%22India%22%5D%7D&pageNumber=0
Swiss Re,https://www.swissre.com/careers/india.html
Agilent Technologies,https://agilent.wd5.myworkdayjobs.com/en-GB/Agilent_Careers?locationCountry=c4f78be1a8f14da0ab49ce1162348a5e
Aye Finance,https://ayefin.com/careers/join-us#opportunities
Cadence,https://cadence.wd1.myworkdayjobs.com/External_Careers?Location_Country=c4f78be1a8f14da0ab49ce1162348a5e
IHG,https://careers.ihg.com/en/search-and-apply/?area=india&region=
Marriott International,https://careers.marriott.com/jobs?location_name=India&location_type=4
S&P Global,"https://careers.spglobal.com/jobs?locations=Ahmedabad,Gujar%C4%81t,India%7CBangalore,Karn%C4%81taka,India%7CBengaluru,Karn%C4%81taka,India%7CChennai,Tamil%20N%C4%81du,India%7CGurgaon,Hary%C4%81na,India%7CGurugram,Hary%C4%81na,India%7CHyderabad,Telang%C4%81na,India%7CMumbai,Mah%C4%81r%C4%81shtra,India%7CNoida,Uttar%20Pradesh,India%7CVirtual~%20Gurgaon,Hary%C4%81na,India%7CAhmedabad,,India%7CBengaluru,,India%7CChennai,,India%7CMumbai,,India%7CVirtual,,India&page=1"
Trane Technologies,https://careers.tranetechnologies.com/global/en/search-results?keywords=
Ericsson,https://jobs.ericsson.com/careers?page=1&jobPipeline=careersite&utm_source=ericsson.com&utm_medium=referral&utm_campaign=search_widget&start=0&pid=563121774185158&sort_by=hot
Hilton,https://jobs.hilton.com/apac/en/india-jobs
VOIS,https://jobs.vodafone.com/careers?start=0&location=India&pid=563018693369050&sort_by=distance&filter_include_remote=1&filter_brand=vois
R1 RCM,https://r1rcm.wd1.myworkdayjobs.com/R1RCM?Location_Country=c4f78be1a8f14da0ab49ce1162348a5e
SIS,https://sisindia.com/jobs/
HDFC Life,https://www.hdfclife.com/hdfc-careers/find-your-fit.html?jobRole=Sales%20&location=&reqId=undefined
Synchrony,https://www.synchronycareers.com/job-search-results/?location=India&country=IN&radius=25
Tata AIA Life Insurance,https://tataaia.ripplehire.com/candidate/?token=sHL2jO0rtOvpftwOGDCp&source=CAREERSITE#list
Tata AIG Insurance,https://careers.tataaig.com/search/?createNewAlert=false&q=&locationsearch=
Tata Capital,https://eofh.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_3001/jobs?location=India&locationId=300000000378365&locationLevel=country&mode=location
Tata International,https://careers.tatainternational.com/search/?createNewAlert=false&q=&locationsearch=India
Tata Projects,https://careers.tataprojects.com/search/?createNewAlert=false&q=&optionsFacetsDD_location=&optionsFacetsDD_customfield3=&optionsFacetsDD_customfield4=&optionsFacetsDD_dept=&optionsFacetsDD_customfield1=
TeamLease Services,https://group.teamlease.com/careers/
Trent Limited,https://careers.trentlimited.com/search/?createNewAlert=false&q=&locationsearch=&optionsFacetsDD_dept=&optionsFacetsDD_customfield1=
UBS Group,https://jobs.ubs.com/TGnewUI/Search/home/HomeWithPreLoad?partnerid=25008&siteid=5012&PageType=searchResults&SearchType=linkquery&LinkID=15602#keyWordSearch=&locationSearch=
Uflex,https://aa193.taleo.net/careersection/ex/jobsearch.ftl?lang=en&portal=101430233
Diageo,https://www.linkedin.com/company/diageo-india/jobs/?viewAsMember=true
Vardhman,https://career5.successfactors.eu/career?company=vardhmante&career%5fns=job%5flisting%5fsummary&navBarLevel=JOB%5fSEARCH&site=VjItNGdmd1pBUnU5MWh0a3pSeDVIR1hHUT09&_s.crb=C9eKkkvGUdCT1P%2fHtk1FtF2vgT%2fDONqx41gOQ7ckkvU%3d
Varroc,https://varroc.sensehq.com/careers
Air India,https://careers.airindia.com/search/?createNewAlert=false&q=&locationsearch=
Volvo,https://jobs.volvogroup.com/
Waaree,https://www.waaree.com/careers/
Whirlpool Corporation,https://jobs.whirlpool.com/careers?start=0&pid=34398234860&sort_by=hot&filter_location_country=IND
Britannia Industries,https://britannia.turbohire.co/dashboardv2?orgId=c143932d-0df7-4856-9dc5-0a9f1ca26dc5&type=0
Delhivery,https://delhivery.darwinbox.in/ms/candidatev2/main/careers/allJobs
JSW Steel,https://myjsw.darwinbox.in/ms/candidatev2/main/careers/allJobs
Nykaa,https://www.nykaafashion.com/lp/careers?srsltid=AfmBOopwkniPsnJ_-BPltqgT83oG-pewDMSh1oAkLLiAzFn8LL9vPJqn
Shriram Group,https://www.shriramfinance.in/careers
Tata Chemicals,https://fa-eskj-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/jobs?mode=location
Ramco Systems,https://www.ramco.com/careers/jobs-by-locations
The Walt Disney Company,https://www.disneycareers.com/en/location/india-jobs/391/1269750/2
Bajaj Electricals,https://careers.bajajelectricals.com/search/?createNewAlert=false&q=&locationsearch=
Bharti Axa Life Insurance Company,https://www.linkedin.com/jobs/search/?currentJobId=4351025516&f_C=312468&geoId=92000000&origin=COMPANY_PAGE_JOBS_CLUSTER_EXPANSION&originToLandingJobPostings=4351025516%2C4351592288
Crompton Greaves Consumer Electricals,https://www.crompton.co.in/pages/careers
Guangzhou Automobile Group,https://career.gac.com/?jobs-54d01ed5%5Bcountry%5D%5B%5D=IN
HCC,https://www.hccindia.com/career/current-opening
Honda Cars India,https://www.hondacarindia.com/careers
Munich Re,"https://careers.munichre.com/en/search-jobs?alrpm=1269750&ascf=[%7B%22Value%22:%22Munich+Re+all+companies%22,%22Key%22:%22custom_fields.Brands%22%7D]"
Saudi Aramco,https://india.aramco.com/en/careers/current-openings
AU Small Finance Bank,https://autalenthub.darwinbox.in/ms/candidatev2/main/careers/allJobs
